No transaction data available,无交易数据,bbac0b8c279e480682f845bb4772a7ad
all products,所有产品,b741bbb0b77f4590bc39edde6f4f9193
active products,上架产品,98efa1e129ee4744a7c146eecad9add3
in-active products,下架产品,da60e4dc6cda4370973e637b03f1eb30
draft products,待上架产品,00501e1617544ed8b65843af33566161
deleted products,已删除产品,0eefe841ab4b447eaab10868fe321314
under review products,待审核产品,9c1f478a73dd4607a786ee4a0475a327
rejected products,未通过产品,5c03bfe6002b4b91b038a1702c3e0773
for completion products,待完善产品,1b308b6ce09146c48d56ff46c47baf2b
Select All,全选,c0014a81201e4d6f84636b85cb595cc1
Set to Active,设为上架,5a430864a86348339956a31ce6b8f9ac 
Set to Inactive,设为下架,60a86ebc50ae4159b614eb5cf65f698a
Delete,删除,65f09b8bb28d478b9dadce413681f445
Warehouse Title Name,仓库名称,f629a35865e8473b8f24a6517cbb0270
Warehouse Address,仓库地址,1f374b913ff14c32a34d952a2ec7d4ba
Country,国家,6de33610438e46128997773b21003563
Add warehouse,增加仓库,556e2d4ba49d4dc0afcb63eaf5785592
notification,通知,7960dd1a111e4d468b9876582738feb3
reorder / edit categories,重新排序 / 编辑分类,20f4397e83f44c4bafefbf61ae1f43dc
save order,保存排序,6c9af84e151245f5939485868328d4e7
cancel,取消,05e6ca3894704c6ebce3ebfe8ebe23e1
Upload Video,上传视频,4ebc2d380cfe404d91bd102534410509
Product Group,产品组,
Select your Category,选择品类,3eed356692694bc282f0d76f422b6b2f
Shipping Category,派送分类,7e11440c308a4025b53474676651c505
Select your Shipping Category,选择你的派送类别,4d79f53f8b6a4181a067f5086933f7ef
add  more details,增加更多明细,79ba95a067f142e2bbb2b4ccc22a64cc
Add Product,增加产品,6dfc5d72e05a4ecb89003edb52061471
EARNING REPORT,积分报告,945400aec5384d369ad767b15bed4661
Your inbox is currently empty,您目前的留言箱是空的,ff3d74269d98474a8f34fc5f972dc431
SMS Notifications,短信通知,48bcf8a706ae4ace9878e67a06d33bae
Electronics,手机、数码,1deae864179b43489c8d4f79cd769dc2
Mother & Baby,妈咪宝贝,4f8a590603da4687ac6321b3468dbd92
Jewelry & accessories,手表、首饰、美妆,47ccfbebaf304ab3bd004b4779547c06
Outdoor,运动、户外,dc8c84a11d5c48f2bb3869de7e1748aa
Beauty & skincare,美容、护理,88d4eb401cba46c9a0d8d3826fe4cbc4
house decoration & Living,家居、家电,0903c839ccf44b04b0c38d18884cea98
women's clothing,时尚女装,e11bc1ada23a4004b66b79d2ec4c2cdd
men's clothing,品味男装,ca52cf81bb2f4806b6aa272c5c4debf1
shoes & boots,鞋靴,fd6bc31b7120491e86b6edf0d7506bfa
bags & accessories,箱包、配件,240b5f4c01c143c7b37d2fa08f811b19

DOWNLOAD OUR APP,下载手机版,793578d8e65345c8a3cc86a02d80719e
BE A SELLER,成为卖家,ca29b0b526084735b6bc6b0e175b42c4
BE AN AFFILIATE,成为代理,e605112586eb41afb636dc69916e7c98
LOG IN,登入,5d23570d16264c628435cf10df86d586
SIGN UP,注册,189a120ab6714aae97a3776517b828ce
Type,类型,81d4d5e0366b4b47b66b4f6ef942fad1
Description,交易描述,d7c764c0d9fc49f587265b7f4337e696
Amount,金额,d6de714734f041389a0af00c4702a68e
Available Balance,可提取余额,2f01a291f8984f7a89bde20e139fe26e
Total Sales,总销售额,3c26d4a6145740b29b04b0ada6f52aea
Total Net Sales,净销售额,4597f394607e4570a60c8087635b4381
total site view,总访问量,2f90b58fbd5841c58f5c6ed67cd3d19f
Buyer Networks,用户推荐,7b944950722b4c8ebb548c0e6ed78b29
